epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1733.11,1.12667,0.99934,1.54106,0.82598,0.81049,0.81809,0.36463,2.22889,1.67571,3.25938,0.0011882,0.0011882,0.0011882
43,1771.5,1.12118,1.00557,1.53147,0.77713,0.7561,0.78111,0.34701,2.28964,1.41969,3.56161,0.0011684,0.0011684,0.0011684
44,1809.99,1.10193,0.99419,1.53646,0.78907,0.82927,0.82143,0.35781,2.08875,1.49789,3.1333,0.0011486,0.0011486,0.0011486
45,1851.05,1.1868,1.03949,1.58702,0.80782,0.7561,0.82808,0.37161,1.96641,1.70569,2.91676,0.0011288,0.0011288,0.0011288
46,1892.19,1.07634,0.97985,1.49261,0.69755,0.85366,0.82664,0.33505,1.81545,1.90363,2.77752,0.001109,0.001109,0.001109
47,1937.21,1.00456,0.87275,1.4401,0.75147,0.73171,0.77814,0.31356,2.24875,1.7449,3.4075,0.0010892,0.0010892,0.0010892
48,1977.01,1.09529,0.92225,1.51745,0.68259,0.65854,0.61574,0.22308,2.36845,1.78784,3.8021,0.0010694,0.0010694,0.0010694
49,2016.2,1.08303,1.00241,1.51817,0.72975,0.5929,0.63606,0.24271,2.39625,1.87359,3.83338,0.0010496,0.0010496,0.0010496
50,2056.87,1.00133,0.88053,1.45828,0.64935,0.72279,0.64719,0.22581,2.41128,1.72407,4.02712,0.0010298,0.0010298,0.0010298
51,2096.96,1.08897,0.97813,1.52465,0.8333,0.78049,0.81886,0.3276,2.09076,1.72002,3.34941,0.00101,0.00101,0.00101
52,2136.15,0.96685,0.82516,1.4104,0.88689,0.78049,0.80561,0.32959,2.01657,1.65214,3.22513,0.0009902,0.0009902,0.0009902
53,2175.98,0.9551,0.81124,1.42923,0.8417,0.78049,0.83044,0.36592,1.91464,1.55999,2.98447,0.0009704,0.0009704,0.0009704
54,2222.58,0.96451,0.80684,1.43131,0.90871,0.70732,0.77937,0.34648,2.05509,1.45189,3.27818,0.0009506,0.0009506,0.0009506
55,2265.26,1.0188,0.85978,1.47528,0.77646,0.76257,0.78978,0.35145,2.13986,1.43095,3.51006,0.0009308,0.0009308,0.0009308
56,2308.41,1.06012,0.88519,1.47308,0.81845,0.85366,0.85472,0.39553,1.8135,1.4962,2.87023,0.000911,0.000911,0.000911
57,2346.23,1.09073,0.88576,1.54345,0.8684,0.80474,0.8191,0.40685,1.74833,1.3738,2.67852,0.0008912,0.0008912,0.0008912
58,2384.29,1.043,0.84329,1.51881,0.81078,0.78049,0.81943,0.38951,1.7871,1.41478,2.63328,0.0008714,0.0008714,0.0008714
59,2423.95,1.03963,0.83552,1.43442,0.86448,0.77802,0.83716,0.44332,1.63742,1.23753,2.42024,0.0008516,0.0008516,0.0008516
60,2479.93,0.97134,0.83477,1.43441,0.86001,0.7561,0.85926,0.38342,1.78018,1.44917,2.51196,0.0008318,0.0008318,0.0008318
61,2519.55,0.97068,0.83456,1.43989,0.8928,0.78049,0.8939,0.40109,1.8134,1.36873,2.7176,0.000812,0.000812,0.000812
62,2559.17,0.98586,0.83693,1.42792,0.85461,0.86034,0.89004,0.38505,1.91948,1.35498,2.80994,0.0007922,0.0007922,0.0007922
63,2597.88,0.93578,0.79336,1.40911,0.8115,0.73511,0.84159,0.35245,1.99175,1.40871,2.85851,0.0007724,0.0007724,0.0007724
64,2635.62,0.89118,0.71971,1.37981,0.85214,0.84352,0.86475,0.43735,1.57788,1.23478,2.38525,0.0007526,0.0007526,0.0007526
65,2673.73,0.9829,0.80997,1.45393,0.79235,0.82927,0.86677,0.46444,1.41888,1.23928,2.25665,0.0007328,0.0007328,0.0007328
66,2712.68,0.99681,0.84707,1.45428,0.85863,0.80488,0.88366,0.47666,1.52372,1.19071,2.34262,0.000713,0.000713,0.000713
67,2752.26,0.89771,0.76062,1.41281,0.86117,0.82927,0.87921,0.42119,1.70143,1.25393,2.50807,0.0006932,0.0006932,0.0006932
68,2791.25,0.9261,0.77312,1.39573,0.89213,0.73171,0.84347,0.39713,1.76719,1.26944,2.6391,0.0006734,0.0006734,0.0006734
69,2830.6,0.89106,0.76749,1.40519,0.84185,0.77904,0.83165,0.442,1.78805,1.25942,2.68479,0.0006536,0.0006536,0.0006536
70,2870,0.88566,0.73579,1.36367,0.80401,0.85366,0.85207,0.42241,1.80412,1.2999,2.71516,0.0006338,0.0006338,0.0006338
71,2909,0.86235,0.74746,1.31948,0.82099,0.80488,0.81877,0.39343,1.92937,1.29497,2.91909,0.000614,0.000614,0.000614
72,2948.94,0.94452,0.72098,1.35532,0.86388,0.73171,0.80538,0.35996,1.88208,1.41617,2.77665,0.0005942,0.0005942,0.0005942
73,2989.27,0.85937,0.71503,1.32658,0.8701,0.7561,0.83242,0.38417,1.82649,1.35304,2.74391,0.0005744,0.0005744,0.0005744
74,3028.42,0.80455,0.72821,1.28802,0.92817,0.80488,0.85944,0.40218,1.70987,1.23124,2.73421,0.0005546,0.0005546,0.0005546
75,3067.93,0.89441,0.75435,1.37668,0.93853,0.82927,0.8876,0.42423,1.69809,1.18652,2.72359,0.0005348,0.0005348,0.0005348
76,3107.66,0.84203,0.70187,1.34952,0.90461,0.80488,0.81454,0.37649,1.81064,1.27493,2.80278,0.000515,0.000515,0.000515
77,3145.82,0.82764,0.68441,1.29607,0.86518,0.78266,0.80751,0.38833,1.77135,1.30385,2.87186,0.0004952,0.0004952,0.0004952
78,3184.61,0.81828,0.69797,1.30036,0.85705,0.73118,0.78729,0.41019,1.74366,1.28113,2.87063,0.0004754,0.0004754,0.0004754
79,3223.29,0.83445,0.71384,1.32597,0.83295,0.85136,0.85948,0.44957,1.71382,1.27924,2.82857,0.0004556,0.0004556,0.0004556
80,3261.3,0.8215,0.6317,1.32521,0.85168,0.80488,0.85449,0.4454,1.66753,1.21105,2.75528,0.0004358,0.0004358,0.0004358
81,3298.32,0.79887,0.64956,1.29101,0.90004,0.80488,0.85108,0.44721,1.65002,1.25352,2.68491,0.000416,0.000416,0.000416
82,3335.02,0.82767,0.71396,1.32736,0.82446,0.82927,0.8379,0.45592,1.63832,1.26569,2.64462,0.0003962,0.0003962,0.0003962
83,3372.25,0.77294,0.6165,1.26968,0.81226,0.80488,0.81016,0.43437,1.6366,1.21751,2.66542,0.0003764,0.0003764,0.0003764
84,3408.96,0.78063,0.62253,1.29093,0.92155,0.78049,0.83301,0.41835,1.66228,1.19185,2.79694,0.0003566,0.0003566,0.0003566
85,3446.06,0.75714,0.6111,1.24127,0.9163,0.8011,0.83624,0.43294,1.55407,1.2091,2.61513,0.0003368,0.0003368,0.0003368
86,3482.95,0.76022,0.61435,1.26393,0.86286,0.7561,0.8256,0.42058,1.53779,1.20871,2.55628,0.000317,0.000317,0.000317
87,3520.11,0.75082,0.63173,1.26213,0.81235,0.78049,0.81399,0.42304,1.53171,1.21271,2.52656,0.0002972,0.0002972,0.0002972
88,3559.03,0.71789,0.58751,1.24783,0.82259,0.7918,0.82541,0.42146,1.61253,1.2894,2.54459,0.0002774,0.0002774,0.0002774
89,3595.99,0.75552,0.63714,1.24847,0.81343,0.78049,0.81493,0.40714,1.69052,1.27863,2.615,0.0002576,0.0002576,0.0002576
90,3632.72,0.74547,0.59534,1.24244,0.77384,0.75121,0.80418,0.41747,1.64731,1.30294,2.55019,0.0002378,0.0002378,0.0002378
91,3669.52,0.78266,0.99118,1.38421,0.73756,0.82268,0.80055,0.43933,1.54944,1.26494,2.44827,0.000218,0.000218,0.000218
92,3706.39,0.57629,0.64726,1.23477,0.87621,0.78049,0.86338,0.45794,1.51792,1.06955,2.41548,0.0001982,0.0001982,0.0001982
93,3743.83,0.6331,0.60227,1.25278,0.86798,0.80185,0.84924,0.41756,1.64384,1.06296,2.56612,0.0001784,0.0001784,0.0001784
94,3780.82,0.56118,0.54902,1.22429,0.79205,0.87805,0.86098,0.4097,1.71743,1.106,2.69253,0.0001586,0.0001586,0.0001586
95,3817.76,0.57376,0.51494,1.21945,0.81314,0.85366,0.85789,0.40289,1.71069,1.1505,2.67715,0.0001388,0.0001388,0.0001388
96,3854.86,0.58168,0.5287,1.21411,0.86553,0.82927,0.86953,0.42877,1.69627,1.11571,2.66625,0.000119,0.000119,0.000119
97,3891.98,0.55671,0.52272,1.20146,0.93471,0.82927,0.89091,0.44531,1.64861,1.0731,2.60208,9.92e-05,9.92e-05,9.92e-05
98,3928.58,0.56201,0.49665,1.24084,0.94394,0.8215,0.88752,0.44563,1.59954,1.06366,2.52441,7.94e-05,7.94e-05,7.94e-05
99,3965.11,0.57565,0.50821,1.19651,0.94377,0.81897,0.88698,0.45279,1.57342,1.06094,2.48866,5.96e-05,5.96e-05,5.96e-05
100,4001.84,0.51384,0.45038,1.18495,0.92928,0.80488,0.8986,0.46131,1.52429,0.97498,2.43125,3.98e-05,3.98e-05,3.98e-05
